pick_tier,pick,player_name,School,G,GS,MP,FG,FGA,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,FT,FTA,ft_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,years_played,Class,years_on_contract,rookie_salary,total_rookie_earnings,career_nba_earnings,division_level
1st Round,23,David Roddy,Colorado State,63,34,17.9,3.4,5.7,0.601,0.2,0.9,0.204,3.2,4.8,0.671,0.616,1.2,2.1,0.577,2.1,3.7,5.8,0.6,0.8,2.9,0.8,2,8.2,3,Junior,4,2643360.00,10573440.00,10573440.00,NCAA_D1
1st Round,24,MarJon Beauchamp,NBA G League Ignite,0,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,4,2519880.00,10079520.00,10079520.00,G_LEAGUE
1st Round,25,Blake Wesley,Notre Dame,35,28,29.3,5.1,12.6,0.404,1.5,5.1,0.303,3.5,7.5,0.471,0.465,2.7,4.1,0.657,0.7,3,3.7,2.4,1.3,0.1,2.2,1.9,14.4,1,Freshman,4,2402640.00,9610560.00,9610560.00,NCAA_D1
1st Round,26,Wendell Moore Jr.,Duke,88,68,29.4,3.8,8.4,0.459,0.9,2.5,0.358,3,5.9,0.502,0.512,2.1,2.6,0.814,1.3,3.5,4.9,3.2,1.2,0.2,2.1,2,10.7,3,Junior,4,2291400.00,9165600.00,9165600.00,NCAA_D1
1st Round,27,Nikola Jović,Mega Mozzart (Serbia),0,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,4,2185920.00,8743680.00,8743680.00,International_Pro
1st Round,28,Patrick Baldwin Jr.,Milwaukee,11,10,28.5,4.1,11.9,0.344,1.5,5.8,0.266,2.5,6.1,0.418,0.408,2.4,3.2,0.743,0.9,4.9,5.8,1.5,0.8,0.8,2.1,1.5,12.1,1,Freshman,4,2085000.00,8340000.00,8340000.00,NCAA_D1
1stRound,29,TyTy Washington Jr.,Kentucky,31,29,29.2,4.9,10.9,0.451,1.2,3.3,0.35,3.7,7.5,0.496,0.504,1.5,2.1,0.75,0.6,2.8,3.5,3.9,1.3,0.2,1.6,1.5,12.5,1,Freshman,4,1989840.00,7959360.00,7959360.00,NCAA_D1
1st Round,30,Peyton Watson,UCLA,32,0,12.7,1.2,3.7,0.322,0.2,1,0.226,1,2.7,0.356,0.352,0.7,1,0.688,0.9,2,2.9,0.8,0.6,0.6,0.9,1.6,3.3,,Unknown,4,1899720.00,7598880.00,7598880.00,NCAA_D1
2nd Round,31,Andrew Nembhard,Gonzaga,131,115,32.1,3.7,8.3,0.446,1.1,3.3,0.343,2.6,5,0.515,0.515,1.4,1.8,0.79,0.2,2.7,2.9,5.3,1.2,0.1,2,1.8,10,,Unknown,4,2017000.00,8068000.00,8068000.00,NCAA_D1
2nd Round,32,Caleb Houstan,Michigan,34,34,32,3.2,8.4,0.384,1.8,5,0.355,1.4,3.4,0.426,0.489,1.9,2.4,0.783,0.8,3.2,4,1.4,0.7,0.2,1.5,1.7,10.1,,Unknown,4,1739000.00,6956000.00,6956000.00,NCAA_D1
2nd Round,33,Christian Koloko,Arizona,91,56,17.9,2.9,4.9,0.59,0,0.1,0,2.9,4.8,0.597,0.59,1.6,2.3,0.67,2,3.1,5.1,0.7,0.5,1.8,0.9,2.3,7.3,,Unknown,2,1017000.00,2034000.00,2034000.00,NCAA_D1
2nd Round,34,Jaylin Williams,Arkansas,63,40,25.2,2.8,6,0.464,0.4,1.5,0.255,2.4,4.5,0.534,0.496,2,2.7,0.731,1.3,6.3,7.7,1.8,1,0.9,1.4,2.3,7.9,,Unknown,3,1563000.00,4689000.00,4689000.00,NCAA_D1
